Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,District Code,District Name,Police Agency Code,Police Agency Name,Crash Year,Crash Month,Time of Day,Hour of Day,Illumination,Road Condition,Collision Type,Urban / Rural,Fatality Count,Injury Count,Person Count,Total Unit Count,Latitude,Longitude,Vehicle Count,Suspected Serious Injury Count,Suspected Minor Injury Count,Possible Injury Count,Total Injury Count,16 Year Old Driver Count,17 Year Old Driver Count,18 Year Old Driver Count,19 Year Old Driver Count,20 Year Old Driver Count,50-64 Year Old Driver Count,65-74 Year Old Driver Count,75 Plus Year Old Driver Count,Unbelted Occupant Count,Latitude (Decimal),Longitude (Decimal),Interstate,State Road,Local Road Only,Turnpike,Injury,Fatal,Alcohol Related,Drinking Driver,Underage Drinking Driver,Unlicensed,Distracted,Cell Phone,No Clearance,Running Red Light,Tailgating,Speeding,Speeding Related,Aggressive Driving,Fatigue / Asleep,Unbelted,NHTSA Aggressive Driving,Running Stop Sign,Hit Parked Vehicle,Suspected Serious Injury,Suspected Minor Injury,Drug Related,Illegal Drug Related,Drugged Driver,Impaired Driver,Geographic Location of the Crash
2011090432,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2011,8,0400,4,Dark street lights,Wet,Rear-end,Urban,0,2,2,2,40 02:04.761,75 06:19.504,2,0,0,2,2,0,0,0,1,0,0,0,0,0,40.0347,-75.1054,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,No,0,0,1,0,0,0,0,0,1,"(40.0347, -75.1054)"
2006007845,06,Berks,06222,Maidencreek Twp,05,District 5-0,06504,NORTHERN BERKS REGIONAL,2006,1,0810,8,Daylight,Wet,Hit fixed object,Rural,0,0,1,1,40 27:21.000,75 53:03.582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4557,-75.8846,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.4557, -75.8846)"
1999150730,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,1999,12,1511,15,Daylight,Dry,Angle,Urban,0,0,4,2,39 59:05.294,75 10:08.806,2,0,0,0,0,0,0,0,0,0,0,1,0,0,39.9848,-75.1691,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,0,1,0,0,0,0,0,0,0,"(39.9848, -75.1691)"
1999120610,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,1999,11,0815,8,Daylight,Dry,Hit pedestrian,Urban,0,1,2,2,40 02:03.840,75 06:54.360,1,0,1,0,1,0,0,0,0,0,0,0,0,0,40.0345,-75.115,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,1,0,0,0,0,"(40.0345, -75.115)"
2009038618,15,Chester,15247,West Goshen Twp,06,District 6-0,15247,WEST GOSHEN TWP,2009,4,0850,8,Daylight,Dry,Sideswipe (same dir.),Urban,0,0,2,2,39 57:57.428,75 35:34.609,2,0,0,0,0,0,0,0,0,0,1,0,0,0,39.9659,-75.5932,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(39.9659, -75.5932)"
2016119198,09,Bucks,09213,Middletown Twp,06,District 6-0,09213,MIDDLETOWN TWP,2016,10,1436,14,Daylight,Dry,Angle,Urban,0,0,3,3,40 10:43.933,74 54:27.658,3,0,0,0,0,0,0,0,0,0,2,0,1,0,40.1788,-74.9077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,0,0,0,0,0,0,0,0,0,"(40.1788, -74.9077)"
2001259050,40,Luzerne,40103,Plains Twp,04,District 4-0,68P01,PSP - Wyoming,2001,6,1915,19,Daylight,Dry,Rear-end,Urban,0,1,2,2,41 15:04.320,75 49:28.560,2,0,0,1,1,0,0,0,1,0,1,0,0,0,41.2513,-75.8258,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,No,0,0,0,0,0,0,0,0,0,"(41.2513, -75.8258)"
1998056831,21,Cumberland,21103,Hampden Twp,08,District 8-0,21103,HAMPDEN TWP,1998,6,1150,11,Daylight,Dry,Rear-end,Urban,0,1,3,2,40 14:13.920,76 58:19.200,2,0,0,1,1,0,0,0,0,1,0,0,0,0,40.2372,-76.9715,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,No,0,0,0,0,0,0,0,0,0,"(40.2372, -76.9715)"
2010052031,67,Philadelphia,67301,Philadelphia City,06,District 6-0,68K01,PSP - Philadelphia,2010,5,0128,1,Dark street lights,Dry,Hit fixed object,Urban,0,1,1,1,39 54:40.306,75 08:58.881,1,0,0,1,1,0,0,0,0,0,1,0,0,0,39.9112,-75.1497,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(39.9112, -75.1497)"
2014049854,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2014,4,0730,7,Daylight,Dry,Sideswipe (same dir.),Urban,0,0,1,2,40 01:21.123,75 12:20.956,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0225,-75.2058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,0,0,1,0,0,0,0,0,0,"(40.0225, -75.2058)"
