Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,District Code,District Name,Police Agency Code,Police Agency Name,Crash Year,Crash Month,Time of Day,Hour of Day,Illumination,Road Condition,Collision Type,Urban / Rural,Fatality Count,Injury Count,Person Count,Total Unit Count,Latitude,Longitude,Vehicle Count,Suspected Serious Injury Count,Suspected Minor Injury Count,Possible Injury Count,Total Injury Count,16 Year Old Driver Count,17 Year Old Driver Count,18 Year Old Driver Count,19 Year Old Driver Count,20 Year Old Driver Count,50-64 Year Old Driver Count,65-74 Year Old Driver Count,75 Plus Year Old Driver Count,Unbelted Occupant Count,Latitude (Decimal),Longitude (Decimal),Interstate,State Road,Local Road Only,Turnpike,Injury,Fatal,Alcohol Related,Drinking Driver,Underage Drinking Driver,Unlicensed,Distracted,Cell Phone,No Clearance,Running Red Light,Tailgating,Speeding,Speeding Related,Aggressive Driving,Fatigue / Asleep,Unbelted,NHTSA Aggressive Driving,Running Stop Sign,Hit Parked Vehicle,Suspected Serious Injury,Suspected Minor Injury,Drug Related,Illegal Drug Related,Drugged Driver,Impaired Driver,Geographic Location of the Crash
1997050974,66,York,66203,Codorus Twp,08,District 8-0,68H07,PSP - York,1997,6,1530,15,Daylight,Dry,Hit fixed object,Rural,0,1,1,1,39 45:15.480,76 46:45.120,1,0,0,1,1,1,0,0,0,0,0,0,0,1,39.7543,-76.7792,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,"(39.7543, -76.7792)"
2009126392,22,Dauphin,22301,Harrisburg City,08,District 8-0,22301,HARRISBURG CITY,2009,12,1849,18,Dark street lights,Dry,Rear-end,Urban,0,5,5,3,40 14:35.818,76 51:29.391,3,0,4,1,5,0,0,0,0,0,1,0,0,1,40.2433,-76.8582,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,"(40.2433, -76.8582)"
2007012757,40,Luzerne,40304,Wilkes,04,District 4-0,40304,WILKES BARRE CITY,2007,2,2329,23,Dark street lights,Dry,Angle,Urban,0,1,10,2,41 14:53.356,75 52:28.082,2,0,0,1,1,0,0,1,0,0,0,0,1,5,41.2482,-75.8745,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(41.2482, -75.8745)"
2009044741,02,Allegheny,02301,Pittsburgh City,11,District 11-0,68B03,PSP - Pittsburgh (Orig. Finlay),2009,3,1445,14,Daylight,Dry,Rear-end,Urban,0,1,3,2,40 25:43.923,79 55:47.839,2,0,0,1,1,0,0,0,0,0,0,0,0,1,40.4289,-79.9299,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"(40.4289, -79.9299)"
1998053475,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,1998,6,1109,11,Daylight,Dry,Angle,Urban,0,1,2,2,,,1,0,0,1,1,0,0,0,0,0,0,0,0,1,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
2017047192,36,Lancaster,36239,West Hempfield Twp,08,District 8-0,36239,WEST HEMPFIELD TWP,2017,5,0200,2,Dark – no street lights,Dry,Hit fixed object,Urban,1,0,1,1,40 02:29.350,76 24:34.740,1,0,0,0,0,0,0,0,0,0,0,0,0,1,40.0415,-76.4097,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(40.0415, -76.4097)"
2008000154,06,Berks,06214,Exeter Twp,05,District 5-0,06214,EXETER TWP,2007,11,1459,14,Daylight,Dry,Angle,Urban,0,2,3,2,40 19:28.000,75 50:59.899,2,0,0,2,2,0,1,0,0,0,1,0,0,1,40.3245,-75.8498,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(40.3245, -75.8498)"
1997032524,36,Lancaster,36229,Providence Twp,08,District 8-0,68J01,PSP - Lancaster,1997,3,2205,22,Dark street lights,Dry,Hit fixed object,Rural,0,0,1,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,
2006102681,23,Delaware,23106,Radnor Twp,06,District 6-0,23106,RADNOR TWP,2006,10,1926,19,Dark street lights,Dry,Hit fixed object,Urban,0,1,1,1,,,1,0,0,0,1,0,0,0,0,0,0,0,1,1,,,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,
1999070054,02,Allegheny,02435,Green tree Boro,11,District 11-0,02435,GREEN TREE BORO,1999,7,1251,12,Daylight,Dry,Rear-end,Urban,0,0,2,2,40 25:08.760,80 02:44.880,2,0,0,0,0,0,0,0,0,0,0,0,0,1,40.4191,-80.0459,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(40.4191, -80.0459)"
2007203835,49,Northumberland,49405,Milton Boro,03,District 3-0,49405,MILTON BORO,2007,8,0927,9,Daylight,Dry,Angle,Urbanized,0,1,5,2,41 01:23.667,76 51:00.460,2,0,0,1,1,0,0,0,0,0,0,0,0,1,41.0232,-76.8501,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(41.0232, -76.8501)"
2016013846,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2016,1,1935,19,Dark street lights,Dry,Angle,Urban,0,1,2,3,40 03:19.504,75 05:33.327,3,0,0,0,1,0,0,0,0,0,1,0,0,1,40.0554,-75.0926,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"(40.0554, -75.0926)"
