INTERCHANGE,INTERCHANGE NAME,LATITUDE,LONGITUDE,MILEPOST
2,Gateway (Ohio Connection),"40° 54' 15.09""","-80° 29' 42.30""",1.43
10,New Castle,"40° 49' 48.65""","-80° 21' 28.94""",10.7
13,Beaver Valley,"40° 48' 51.48""","-80° 19' 31.47""",12.87
28,Cranberry,"40° 40' 47.42""","-80° 6' 16.64""",28.47
30,Warrendale,"40° 39' 19.22""","-80° 4' 19.80""",31
39,Butler Valley,"40° 36' 32.89""","-79° 56' 50.72""",39.1
48,Allegheny Valley,"40° 32' 31.29""","-79° 49' 23.20""",47.73
57,Pittsburgh,"40° 26' 17.12""","-79° 45' 1.55""",56.44
67,Irwin,"40° 18' 48.34""","-79° 40' 42.86""",67.22
75,New Stanton,"40° 13' 18.24""","-79° 36' 15.36""",75.39
91,Donegal,"40° 6' 32.94""","-79° 22' 51.65""",90.69
110,Somerset,"40° 1' 13.19""","-79° 4' 52.51""",109.91
146,Bedford,"40° 3' 0.50""","-78° 30' 49.86""",145.5
161,Breezewood,"39° 59' 13.98""","-78° 15' 18.98""",161.5
180,Fort Littleton,"40° 3' 0.38""","-77° 57' 37.64""",179.44
189,Willow Hill,"40° 5' 48.27""","-77° 48' 56.11""",188.59
201,Blue Mountain,"40° 9' 27.19""","-77° 36' 57.48""",201.29
226,Carlisle,"40° 13' 41.33""","-77° 9' 7.84""",226.54
236,Gettysburg Pike,"40° 11' 44.50""","-76° 58' 36.04""",236.22
242,Harrisburg West Shore,"40° 12' 43.80""","-76° 52' 32.45""",241.87
247,Harrisburg East,"40° 12' 54.04""","-76° 47' 9.83""",247.38
266,Lebanon-Lancaster,"40° 13' 47.08""","-76° 26' 8.58""",266.45
286,Reading,"40° 13' 4.98""","-76° 4' 53.19""",286.09
298,Morgantown,"40° 9' 35.65""","-75° 53' 0.78""",298.33
312,Downingtown,"40° 4' 6.19""","-75° 40' 7.79""",311.93
320,SR29,"40° 4' 35.10""","-75° 32' 16.25""",319.33
326,Valley Forge,"40° 5' 34.68""","-75° 24' 14.72""",326.62
333,Norristown,"40° 6' 39.64""","-75° 17' 14.83""",333.28
339,Fort Washington,"40° 7' 56.35""","-75° 11' 44.68""",338.36
340,Virginia Dr,"40° 8' 18.76""","-75° 10' 14.33""",339.8
343,Willow Grove,"40° 9' 41.98""","-75° 7' 14.24""",342.91
351,Bensalem,"40° 7' 55.21""","-74° 58' 15.74""",351.49
352,Street Rd,"40° 7' 53.43""","-74° 58' 7.98""",351.89
353,Neshaminy Falls,"40° 7' 45.00""",-74 57 30.59,352.67
